time_us,q0,q1,q2,q3,wx,wy,wz,motor1,motor2,motor3,motor4
242044810,-0.6626756860917717,-0.04207277839650354,0.017702059604784888,0.7475141827862178,0.039727833122015,-0.01760920137166977,0.009736047126352787,1640.0,1640.0,1640.0,1640.0
242144770,-0.6625524842564728,-0.04384617859820522,0.017504527560345113,0.7475261264616776,0.035146765410900116,0.13462752103805542,0.018979506567120552,1640.0,1640.0,1640.0,1640.0
242244730,-0.6622675560724977,-0.04809935590517307,0.014751800574068965,0.747576431219639,0.02926737256348133,0.11085972934961319,0.02053680270910263,1640.0,1640.0,1640.0,1640.0
242345523,-0.6620259275153567,-0.05146889516474357,0.012605633934091282,0.747605325102137,0.02800917625427246,0.09099369496107101,0.025839591398835182,1640.0,1640.0,1640.0,1640.0
242445483,-0.6618102346809094,-0.05432179920238623,0.010778921946456682,0.7476230134530957,0.0241928081959486,0.07863456010818481,0.025687672197818756,1640.0,1640.0,1640.0,1640.0
242545443,-0.6616397356883515,-0.05650237646216552,0.00920769601222518,0.7476333058034016,0.02152291126549244,0.07027866691350937,0.027974558994174004,1640.0,1640.0,1640.0,1640.0
242645403,-0.661483665149883,-0.05840963714854158,0.008073382785973991,0.7476379441403735,0.021680740639567375,0.05822785198688507,0.028764313086867332,1640.0,1640.0,1640.0,1640.0
242745363,-0.661583070838456,-0.05719649584599605,0.007278596817968275,0.7476519399234238,-0.11315040290355682,-0.08383600413799286,0.02885642647743225,1640.0,1641.0,1641.0,1640.0
242845323,-0.6621707247564569,-0.04943666568778149,0.0046733523657262604,0.747705896150919,-0.15819376707077026,-0.018528234213590622,0.013142897747457027,1640.0,1640.0,1640.0,1641.0
242945283,-0.6626452622423353,-0.04176326385762223,0.004230816372270699,0.7477561008862245,0.019345056265592575,-0.09287620335817337,-0.0005421328824013472,1641.0,1640.0,1641.0,1640.0
243045243,-0.6628768536519362,-0.037323136402804866,0.0035946408278462252,0.7477889668475233,-0.10246674716472626,-0.0699426531791687,0.010275138542056084,1640.0,1641.0,1640.0,1640.0
